小数记录,五分记录,测试时间
0.37,4.56,2023/3/4 21:12
0.8,4.9,2023/3/4 21:15
0.81,4.91,2023/3/4 21:15
0.58,4.76,2023/3/4 21:16
0.72,4.86,2023/3/4 21:17
0.46,4.66,2023/3/4 21:21
0.48,4.69,2023/3/4 22:09
0.39,4.6,2023/3/4 22:09
0.56,4.75,2023/3/4 22:11
0.62,4.79,2023/3/4 22:16
0.63,4.8,2023/3/4 22:17
0.67,4.82,2023/3/4 22:20
4.771952713,0.591497227,2023/3/5 22:58
,,
4.919689249,0.831168831,2023/3/5 22:58
,,
4.942857114,0.876712329,2023/3/5 22:58
,,
4.740973846,0.550774527,2023/3/5 22:58
,,
4.669459407,0.467153285,2023/3/5 22:58
,,
4.543728884,0.349726776,2023/3/5 23:02
,,
3.585810342,0.038531005,2023/3/5 23:05
,,
4.376427694,0.237918216,2023/3/8 11:32
,,
4.675846205,0.474074074,2023/3/8 11:33
,,
4.498683936,0.315270936,2023/3/8 11:34
,,
4.525146607,0.335078534,2023/3/8 11:34
,,
4.406506253,0.25498008,2023/3/8 11:34
,,
4.702376253,0.503937008,2023/3/8 11:34
,,
3.954310373,0.090014065,2023/3/8 11:37
,,
4.81940824,0.659793814,2023/3/8 11:38
4.919689248811405,0.8311688311688312,23-03-08 11:41
4.847138581662794,0.7032967032967034,23-03-08 11:41
4.919689248811405,0.8311688311688312,23-03-08 11:43,Near
4.081740250586813,0.12070916635231987,23-03-08 11:46,Near
4.099462191647128,0.12573673870333987,23-03-08 11:47,Near
4.784990674913949,0.6095238095238096,23-03-08 11:47,Near
4.3962468506525925,0.2490272373540856,23-03-08 11:47,Near
4.641232601362046,0.43775649794801647,23-03-08 13:53,Near
4.525146606736159,0.33507853403141363,23-03-08 13:55,Near
4.837697025429952,0.6881720430107527,23-03-08 13:56,Near
4.936948254252911,0.8648648648648649,23-03-08 13:57,Far
4.666300887582651,0.463768115942029,23-03-08 13:58,Far
4.490209628526969,0.30917874396135264,23-03-08 14:02,Far
4.650843936518825,0.44755244755244755,23-03-08 14:04,Far
4.392880209902636,0.2471042471042471,23-03-08 14:09,Near
4.4617877002987765,0.2895927601809955,23-03-08 14:09,Near
4.548501399114703,0.35359116022099446,23-03-08 14:38,Near
4.897694955105237,0.7901234567901234,23-03-08 14:42,Near
4.784990674913949,0.6095238095238096,23-03-08 14:43,Near
4.719820143309139,0.5245901639344263,23-03-09 12:02,Near
4.851937464544562,0.7111111111111111,23-03-09 12:05,Near
4.618659253147424,0.4155844155844156,23-03-09 12:06,Near
4.892366121600171,0.7804878048780488,23-03-09 12:06,Near
4.914085371293407,0.8205128205128205,23-03-09 12:06,Near
4.892366121600171,0.7804878048780488,23-03-09 12:06,Near
4.688908678328123,0.48854961832061067,23-03-09 12:06,Far
4.954921625264812,0.9014084507042254,23-03-09 12:06,Far
4.993266617341032,0.9846153846153847,23-03-09 12:06,Far
4.954921625264812,0.9014084507042254,23-03-09 12:06,Far
4.682328333016802,0.48120300751879697,23-03-09 12:06,Far
4.961081933969631,0.9142857142857143,23-03-14 19:17,Near
4.630088714928206,0.4266666666666667,23-03-14 19:20,Near
4.3812983373528205,0.24060150375939848,23-03-14 19:21,Near
4.833052120384188,0.6808510638297872,23-03-14 19:22,Near
4.851937464544562,0.7111111111111111,23-03-14 19:23,Near
4.914085371293407,0.8205128205128205,23-03-14 19:23,Near
4.961081933969631,0.9142857142857143,23-03-14 19:23,Near
4.780874108719117,0.6037735849056604,23-03-14 19:23,Near
4.961081933969631,0.9142857142857143,23-03-14 19:26,Near
4.814953898291392,0.6530612244897959,23-03-14 19:28,Near
4.749275122647415,0.5614035087719298,23-03-14 19:28,Near
4.961081933969631,0.9142857142857143,23-03-14 19:28,Near
4.500828604537263,0.31683168316831684,23-03-14 19:31,Near
4.961081933969631,0.9142857142857143,23-03-14 19:33,Near
4.936948254252911,0.8648648648648649,23-03-14 19:33,Near
4.961081933969631,0.9142857142857143,23-03-14 19:33,Near
4.814953898291392,0.6530612244897959,23-03-14 19:35,Near
4.961081933969631,0.9142857142857143,23-03-14 19:35,Near
4.509514783722356,0.32323232323232326,23-03-14 19:35,Near
4.692236621677051,0.49230769230769234,23-03-14 19:40,Near
4.914085371293407,0.8205128205128205,23-03-14 19:43,Near
4.914085371293407,0.8205128205128205,23-03-14 19:43,Near
